Item,Description,Qty,Price
CarvinV3MCombo,"Carvin V3M Micro Combo 3 Channel Tube Amp: V3 Series 3-channel tube amp, 50 watt with Footswitch (FS44L) and Original heavy Duty Cover.",1,"TK95,000.00"
Tech21TradeMark30,Tech 21 Trademark 30 with original cover and footswitch,1,"TK33,000.00"
DBZHailfireHFR4FM,DBZ Hailfire Bass FM 4 String Transparent Red (HFR4FM) with Original DBZ Gigbag,1,"TK85,050.00"
DBZBBRDVL,DBZ Bare Bones Religion Devil (BBR DVL) without case,1,"TK40,000.00"
CordobaClassicalGuitarC5-CE,Cordoba Classical Guitar C5-CE Electro-Acoustic with Original Gig Bag,1,"TK30,000.00"
CarvinMB15,Carvin MB15 250 watt Combo Bass Amp,1,"TK45,000.00"
DunlopDEN0946,Dunlop Electric Strings Light Top Heavy Bottom Nickel 09-46,1,TK450.00
KangertechProTank2,Kanger Tech Pro Tank Glass Atomiser,1,"TK1,500.00"
LavaSolderedPedalBoardKitANGLEDLCPKTA,"Lava Soldered Pedal Board Kit : 10 Angled Plugs with 10' Cable, Cutter",1,"TK8,500.00"
FenderAmericanDeluxeJazzBass3TSB,"Fender American Deluxe Jazz Bass (3 Color Sunburst) : 4 string Electric Bass with Alder Body, Maple Neck, Rosewood Fingerboard, and 2 Single coil Pickups, 3 color Sunburst with Original Hardshell Casing.",1,"TK160,003.20"
Installation and Consultancy,Installation and Consultancy,1,"TK20,000.00"
Zoom H2n Handy Recorder,Zoom H2n Handy Recorder,1,"TK18,000.00"
SDCustomStackPlusSTK-S6BridgeParchment,Seymour Duncan Custom Stack Plus STK-S6 Bridge Parchment,1,"TK7,500.00"
SDClassicStackPlusSTK-S4MiddleParchment,Seymour Duncan Classic Stack Plus STK-S4 Middle Parchment,1,"TK7,500.00"
SDVintageHotStackPlusSTK-S7NeckParchment,Seymour Duncan Vintage Hot Stack Plus STK-S7 Neck Parchment,1,"TK7,500.00"
AllPartsFenderNeckplate099-1445-100,"American Series Guitar Neck Plate, Chrome. Includes 4 mounting screws. Has hole for tilt adjustment. Reads ""Fender® Corona California"". No-Serial Number.",1,"TK2,200.00"
MXRM148,MXR M148 Micro Chorus,1,"TK7,000.00"
